id,actual_value,predicted_value,payload_sent,error
0,18.6,19.58378591991466,"{'CRIM': 0.22876, 'ZN': 0.0, 'INDUS': 8.56, 'CHAS': 0.0, 'NOX': 0.52, 'RM': 6.405, 'AGE': 85.4, 'DIS': 2.7147, 'RAD': 5.0, 'TAX': 384.0, 'PTRATIO': 20.9, 'B': 70.8, 'LSTAT': 10.63}",
1,29.1,27.635555555555555,"{'CRIM': 0.01439, 'ZN': 60.0, 'INDUS': 2.93, 'CHAS': 0.0, 'NOX': 0.401, 'RM': 6.604, 'AGE': 18.8, 'DIS': 6.2196, 'RAD': 1.0, 'TAX': 265.0, 'PTRATIO': 15.6, 'B': 376.7, 'LSTAT': 4.38}",
2,33.2,32.955493827160495,"{'CRIM': 0.0686, 'ZN': 0.0, 'INDUS': 2.89, 'CHAS': 0.0, 'NOX': 0.445, 'RM': 7.416, 'AGE': 62.5, 'DIS': 3.4952, 'RAD': 2.0, 'TAX': 276.0, 'PTRATIO': 18.0, 'B': 396.9, 'LSTAT': 6.19}",
3,13.8,,,Out of range float values are not JSON compliant
4,15.3,19.289329405162736,"{'CRIM': 1.12658, 'ZN': 0.0, 'INDUS': 19.58, 'CHAS': 0.0, 'NOX': 0.871, 'RM': 5.012, 'AGE': 88.0, 'DIS': 1.6102, 'RAD': 5.0, 'TAX': 403.0, 'PTRATIO': 14.7, 'B': 343.28, 'LSTAT': 12.12}",
5,13.3,12.79495879120879,"{'CRIM': 9.82349, 'ZN': 0.0, 'INDUS': 18.1, 'CHAS': 0.0, 'NOX': 0.671, 'RM': 6.794, 'AGE': 98.8, 'DIS': 1.358, 'RAD': 24.0, 'TAX': 666.0, 'PTRATIO': 20.2, 'B': 396.9, 'LSTAT': 21.24}",
6,22.6,,,Out of range float values are not JSON compliant
7,11.9,,,Out of range float values are not JSON compliant
8,35.4,,,Out of range float values are not JSON compliant
9,20.1,19.03032000407001,"{'CRIM': 13.0751, 'ZN': 0.0, 'INDUS': 18.1, 'CHAS': 0.0, 'NOX': 0.58, 'RM': 5.713, 'AGE': 56.7, 'DIS': 2.8237, 'RAD': 24.0, 'TAX': 666.0, 'PTRATIO': 20.2, 'B': 396.9, 'LSTAT': 14.76}",
10,22.2,,,Out of range float values are not JSON compliant
11,32.4,32.245489417989425,"{'CRIM': 0.05644, 'ZN': 40.0, 'INDUS': 6.41, 'CHAS': 1.0, 'NOX': 0.447, 'RM': 6.758, 'AGE': 32.9, 'DIS': 4.0776, 'RAD': 4.0, 'TAX': 254.0, 'PTRATIO': 17.6, 'B': 396.9, 'LSTAT': 3.53}",
12,22.7,20.46981025360336,"{'CRIM': 5.20177, 'ZN': 0.0, 'INDUS': 18.1, 'CHAS': 1.0, 'NOX': 0.77, 'RM': 6.127, 'AGE': 83.4, 'DIS': 2.7227, 'RAD': 24.0, 'TAX': 666.0, 'PTRATIO': 20.2, 'B': 395.43, 'LSTAT': 11.48}",
13,31.7,35.35009971509972,"{'CRIM': 0.46296, 'ZN': 0.0, 'INDUS': 6.2, 'CHAS': 0.0, 'NOX': 0.504, 'RM': 7.412, 'AGE': 76.9, 'DIS': 3.6715, 'RAD': 8.0, 'TAX': 307.0, 'PTRATIO': 17.4, 'B': 376.14, 'LSTAT': 5.25}",
14,11.9,,,Out of range float values are not JSON compliant
15,27.1,24.67953370703371,"{'CRIM': 0.05372, 'ZN': 0.0, 'INDUS': 13.92, 'CHAS': 0.0, 'NOX': 0.437, 'RM': 6.549, 'AGE': 51.0, 'DIS': 5.9604, 'RAD': 4.0, 'TAX': 289.0, 'PTRATIO': 16.0, 'B': 392.85, 'LSTAT': 7.39}",
16,20.3,19.734197975814464,"{'CRIM': 0.07165, 'ZN': 0.0, 'INDUS': 25.65, 'CHAS': 0.0, 'NOX': 0.581, 'RM': 6.004, 'AGE': 84.1, 'DIS': 2.1974, 'RAD': 2.0, 'TAX': 188.0, 'PTRATIO': 19.1, 'B': 377.67, 'LSTAT': 14.27}",
17,20.1,19.32231669682188,"{'CRIM': 0.11132, 'ZN': 0.0, 'INDUS': 27.74, 'CHAS': 0.0, 'NOX': 0.609, 'RM': 5.983, 'AGE': 83.5, 'DIS': 2.1099, 'RAD': 4.0, 'TAX': 711.0, 'PTRATIO': 20.1, 'B': 396.9, 'LSTAT': 13.35}",
18,13.6,14.358754350224936,"{'CRIM': 1.25179, 'ZN': 0.0, 'INDUS': 8.14, 'CHAS': 0.0, 'NOX': 0.538, 'RM': 5.57, 'AGE': 98.1, 'DIS': 3.7979, 'RAD': 4.0, 'TAX': 307.0, 'PTRATIO': 21.0, 'B': 376.57, 'LSTAT': 21.02}",
19,12.6,15.617856803690135,"{'CRIM': 9.92485, 'ZN': 0.0, 'INDUS': 18.1, 'CHAS': 0.0, 'NOX': 0.74, 'RM': 6.251, 'AGE': 96.6, 'DIS': 2.198, 'RAD': 24.0, 'TAX': 666.0, 'PTRATIO': 20.2, 'B': 388.52, 'LSTAT': 16.44}",
20,19.5,18.10334823069526,"{'CRIM': 0.1712, 'ZN': 0.0, 'INDUS': 8.56, 'CHAS': 0.0, 'NOX': 0.52, 'RM': 5.836, 'AGE': 91.9, 'DIS': 2.211, 'RAD': 5.0, 'TAX': 384.0, 'PTRATIO': 20.9, 'B': 395.67, 'LSTAT': 18.66}",
21,21.7,22.18705368210412,"{'CRIM': 0.15876, 'ZN': 0.0, 'INDUS': 10.81, 'CHAS': 0.0, 'NOX': 0.413, 'RM': 5.961, 'AGE': 17.5, 'DIS': 5.2873, 'RAD': 4.0, 'TAX': 305.0, 'PTRATIO': 19.2, 'B': 376.94, 'LSTAT': 9.88}",
22,20.7,22.543438875938868,"{'CRIM': 0.03738, 'ZN': 0.0, 'INDUS': 5.19, 'CHAS': 0.0, 'NOX': 0.515, 'RM': 6.31, 'AGE': 38.5, 'DIS': 6.4584, 'RAD': 5.0, 'TAX': 224.0, 'PTRATIO': 20.2, 'B': 389.4, 'LSTAT': 6.75}",
23,11.3,10.34768338143338,"{'CRIM': 9.18702, 'ZN': 0.0, 'INDUS': 18.1, 'CHAS': 0.0, 'NOX': 0.7, 'RM': 5.536, 'AGE': 100.0, 'DIS': 1.5804, 'RAD': 24.0, 'TAX': 666.0, 'PTRATIO': 20.2, 'B': 396.9, 'LSTAT': 23.6}",
24,19.2,19.748788776116534,"{'CRIM': 0.34006, 'ZN': 0.0, 'INDUS': 21.89, 'CHAS': 0.0, 'NOX': 0.624, 'RM': 6.458, 'AGE': 98.9, 'DIS': 2.1185, 'RAD': 4.0, 'TAX': 437.0, 'PTRATIO': 21.2, 'B': 395.04, 'LSTAT': 12.6}",
25,21.5,,,Out of range float values are not JSON compliant
